IMSSBIENESTAR,SERVICIO Y VENTA DE INSUMOS MEDICOS ESPECIALI,170394000.0,Tomografia
SESAQROO,HEALTH GROUP ARGANE SA DE CV,28172259.0,Varios
INMEGEN,ABALAT SA DE CV,18786250.0,Laboratorio
IMSS,MALER DISTRIBUIDORA DE MEDICAMENTOS Y APARATO,18310821.51,Instrumental quirurgico
IMSS,DALISA SERVICES SA DE CV,12766838.0,Esterilizador
IMSS,CAF HEALTHCARE SYSTEMS SA DE CV,12257600.0,Camas
IMSS,DALISA SERVICES SA DE CV,11627009.0,Esterilizador
IMSS,R R MEDICA SA DE CV,10860849.62,Cuidado materno infantil
IMSS,CENTRAL MEDICA DE SUMINISTROS SA DE CV,10517240.0,Rayos x
IMSS,ALTA TECNOLOGIA EN EQUIPO MEDICO ISAGEI SA DE,10224800.0,Ventilacion
