ISSSTE,NUDOMI SA DE CV,233600000.0,Rayos x
SEDENA,VITALMEX INTERNACIONAL SA DE CV,216496183.5,Servicios
SEDENA,FARMACEUTICOS MAYPO SA DE CV,118232931.75,Servicios
IMSS,VITER MEDICAL SA DE CV,87748090.98,Monitoreo
IMSS,MINARIC SA DE CV,83137809.8,Monitoreo
IMSS,NUDOMI SA DE CV,75902842.18,Terapia
NL,EMPRESAS KLAVE SA DE CV,75855000.0,Laboratorio
IMSS,GRUPO COMERCIALIZADOR ROIAL SA DE CV,71546300.0,Monitoreo
PUE,9 ONCE DISTRIBUIDORA SA DE CV,67564610.36,Servicios
INSABI,TECNOLOGIAS EOS MEDICAL SA DE CV,65613745.85,Camas
