IMSS,HUMAN CORPORIS SA DE CV,400765683.0,Radioterapia
IMSS,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,260113869.0,Resonancia magnetica
IMSS,ENERLOGIC S A P I DE CV,254772212.2,Refrigeracion
SEDENA,SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV,223376840.0,Servicios
INSABI,BIOSYSTEMS HLS SA DE CV,179300000.0,Cuidado materno infantil
INSABI,CASONATO STEELCO SPA SA DE CV,172672000.0,Esterilizador
IMSSBIENESTAR,SERVICIO Y VENTA DE INSUMOS MEDICOS ESPECIALI,170394000.0,Tomografia
IMSS,CASONATO STEELCO SPA SA DE CV,160061382.0,Esterilizador
MOR,COMERCIALIZADORA MANHOS SA DE CV,121422429.8,Servicios
IMSS,RADIOLOGIA Y ELECTRONICA DE MEXICO SA DE CV,117989000.0,Mastografia
